Dimension,C,Accuracy
1,0.001,0.2873
1,0.01,0.3109
1,0.1,0.3128
1,1,0.3133
1,10,0.3134
1,100,0.3134
1,1000,0.3134
2,0.001,0.4282
2,0.01,0.447
2,0.1,0.4484
2,1,0.4486
2,10,0.4488
2,100,0.4488
2,1000,0.4488
3,0.001,0.4612
3,0.01,0.4786
3,0.1,0.484
3,1,0.4851
3,10,0.4855
3,100,0.4854
3,1000,0.4854
4,0.001,0.5608
4,0.01,0.5741
4,0.1,0.577
4,1,0.5776
4,10,0.5776
4,100,0.5777
4,1000,0.5777
5,0.001,0.6627
5,0.01,0.6838
5,0.1,0.6875
5,1,0.6882
5,10,0.6885
5,100,0.6885
5,1000,0.6885
6,0.001,0.7094
6,0.01,0.7327
6,0.1,0.7371
6,1,0.7373
6,10,0.7372
6,100,0.7372
6,1000,0.7372
7,0.001,0.7334
7,0.01,0.757
7,0.1,0.7642
7,1,0.7648
7,10,0.7648
7,100,0.7648
7,1000,0.7647
8,0.001,0.7686
8,0.01,0.7861
8,0.1,0.791
8,1,0.7912
8,10,0.7912
8,100,0.7912
8,1000,0.7912
9,0.001,0.7727
9,0.01,0.7891
9,0.1,0.7937
9,1,0.7935
9,10,0.7936
9,100,0.7937
9,1000,0.7936
10,0.001,0.7863
10,0.01,0.8039
10,0.1,0.8095
10,1,0.8102
10,10,0.8099
10,100,0.8099
10,1000,0.8099
50,0.001,0.8932
50,0.01,0.9073
50,0.1,0.9115
50,1,0.9126
50,10,0.9125
50,100,0.9123
50,1000,0.9123
100,0.001,0.9015
100,0.01,0.9157
100,0.1,0.9206
100,1,0.9206
100,10,0.9205
100,100,0.9205
100,1000,0.9205
200,0.001,0.9045
200,0.01,0.9192
200,0.1,0.9249
200,1,0.9255
200,10,0.926
200,100,0.926
200,1000,0.926
